id,name,description,rarity,types,alignment,governance_style,attack,defense,mana,url
0-001,"Deathbringer, The Undying",A fearsome undead warrior dressed in dark armor.,Rare,"Undead,Warrior",Evil,"Tyrant, Fear Monger",9.0,8.0,11,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-001.png
0-002,Spectre of the Night,A translucent spirit warrior glowing in blue.,Common,"Spirit,Warrior",Neutral,Telepathic Manipulation,5.0,5.0,4,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-002.png
0-003,Woodland Lycan,A ferocious werewolf beast ready to pounce.,Common,"Beast,Warrior",Neutral,Fear Monger,6.0,7.0,9,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-003.png
0-004,Infernal Guardian,A fiery elemental bird with majestic plumage.,Common,"Celestial,Demon",Good,"Charismatic Charm, Egalitarian",5.0,6.0,5,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-004.png
0-005,Lord Malthor,A menacing demon warrior with blood-red armor.,Rare,"Demon,Warrior",Evil,"Tyrant, Fear Monger",8.0,8.0,11,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-005.png
0-006,"Moros, The Shadowmancer",A dark mage wielding shadowy powers.,Uncommon,"Mage,Undead",Evil,"Trickster, Telepathic Manipulation",7.0,6.0,7,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-006.png
0-007,"Seraphine, The Winged Guardian",A celestial being with radiant wings and armor.,Rare,"Celestial,Elemental",Good,"Theocracy, Charismatic Charm",7.0,7.0,11,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-007.png
0-008,Zarok the Mage Lord,A powerful mage wielding fiery magic.,Rare,"Demon,Mage",Evil,Tyrant,10.0,9.0,11,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-008.png
0-009,Valen The Guardian,A mighty celestial warrior with golden armor.,Uncommon,"Celestial,Warrior",Good,Benevolent Overseer,7.0,6.0,8,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-009.png
0-010,Azurewolf,A wolf-like creature channeling ice energies.,Rare,"Beast,Elemental",Neutral,Strategist,5.0,6.0,11,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-010.png
0-011,Raccoon Scout,"A clever little raccoon, always on alert.",Common,"Beast,Spirit",Neutral,Trickster,3.0,2.0,4,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-011.png
0-012,Blaze Golem,A rock entity with a fiery core.,Common,"Demon,Elemental",Neutral,Isolationist,4.0,4.0,5,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-012.png
0-013,Furry Gatherers,Playful fluffy creatures from the meadows.,Common,"Beast, Demon",Good,Democracy,2.0,3.0,3,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-013.png
0-014,Nyara the Forest Spirit,"Guardian of the deep woods, in sync with nature.",Uncommon,"Spirit,Elemental",Good,Egalitarian,6.0,6.0,7,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-014.png
0-015,Skullbash Goblin,A mischievous goblin with a knack for trouble.,Common,"Beast,Warrior",Neutral,"Trickster,Plutocracy",5.0,4.0,6,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-015.png
0-016,Lord Umbra,A mysterious sorcerer with immense power.,Uncommon,"Mage,Undead",Evil,"Telepathic Manipulation,Fear Monger",6.0,6.0,7,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-016.png
0-017,Spectre King,Ruler of the ghostly realms.,Rare,"Undead,Warrior",Evil,"Tyrant,Theocracy",7.0,8.0,11,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-017.png
0-018,Bone Emperor,An enforcer of the netherworld.,Common,"Undead,Mage",Evil,"Fear Monger,Telepathic Manipulation",5.0,5.0,4,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-018.png
0-019,Glacial Warlord,A powerful shaman commanding the icy elements.,Common,"Mage, Warrior",Neutral,"Strategist,Egalitarian",6.0,5.0,8,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-019.png
0-020,Jesterblade Goblin,A goblin rogue with deceptive tricks.,Common,"Warrior,Beast",Neutral,"Trickster,Isolationist",4.0,4.0,6,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-020.png
0-021,Tentacle Warden,Guardian of the deepest abysses.,Rare,"Demon, Elemental",Evil,"Telepathic Manipulation,Strategist",7.0,6.0,11,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-021.png
0-022,Count Veldren,A charismatic vampire with a flair for drama.,Rare,"Vampire,Warrior",Evil,"Charismatic Charm,Plutocracy",6.0,6.0,11,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-022.png
0-023,Solaris The Celestial,A celestial being wielding immense solar power.,Rare,"Celestial,Warrior",Good,"Strategist,Charismatic Charm",8.0,7.0,11,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-023.png
0-024,Flame Lion,A majestic lion engulfed in roaring flames.,Common,"Beast,Elemental",Neutral,Charismatic Charm,7.0,5.0,5,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-024.png
0-025,Fuzzy Wisp,A cute yet mysteriously powerful creature.,Common,"Spirit,Beast",Neutral,Trickster,3.0,3.0,4,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-025.png
0-026,Mystical Cheshire,A magical feline with an enigmatic grin.,Uncommon,"Beast, Vampire",Neutral,"Trickster,Telepathic Manipulation",4.0,5.0,9,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-026.png
0-027,Ember Mystic,A cloaked figure harnessing the dark arts.,Common,"Mage, Celestial",Evil,Telepathic Manipulation,4.0,4.0,8,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-027.png
0-028,Golem Warden,A towering golem with a crystalline core.,Common,"Warrior,Elemental",Good,"Benevolent Overseer,Egalitarian",7.0,6.0,8,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-028.png
0-029,Zephyr The Icelord,A deity of the snow and sleet.,Rare,"Celestial,Elemental",Good,"Theocracy,Strategist",8.0,7.0,11,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-029.png
0-030,"Voltara, Star Conduit",Ethereal being harnessing the power of the cosmos.,Rare,"Celestial,Elemental",Good,"Charismatic Charm, Telepathic Manipulation",7.0,6.0,11,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-030.png
0-031,Jade Dragon,"Protector of enchanted forests, basks under the sunlight.",Uncommon,"Beast,Elemental",Neutral,"Egalitarian, Strategist",5.0,5.0,8,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-031.png
0-032,Aria The Enchantress,Mystical sorceress who manipulates the elements.,Rare,"Mage,Elemental",Good,"Telepathic Manipulation, Charismatic Charm",6.0,7.0,11,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-032.png
0-033,Spirit of The Abyss,An ancient spirit emanating eerie cold.,Rare,"Spirit,Undead",Neutral,"Isolationist, Fear Monger",4.0,6.0,7,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-033.png
0-034,Snowbeast,A furry creature from the icy realms.,Uncommon,"Beast,Vampire",Neutral,Egalitarian,4.0,4.0,5,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-034.png
0-035,Emerald Guardian,Silent protector of the deepest woods.,Common,"Warrior,Elemental",Good,Benevolent Overseer,5.0,4.0,5,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-035.png
0-036,Steel Sentinel,A warrior forged in the crucible of battle.,Common,"Warrior,Elemental",Good,Democracy,5.0,4.0,5,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-036.png
0-037,Lyria the Inferno,A powerful demoness with fiery wings.,Rare,"Demon,Elemental",Evil,"Tyrant, Fear Monger",9.0,8.0,11,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-037.png
0-038,Dragonscale Guardian,A fierce warrior protected by dragon scales.,Common,"Warrior,Beast",Good,"Strategist, Egalitarian",4.0,3.0,6,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-038.png
0-039,Fiery Drake,An elemental being that governs icy realms.,Common,"Elemental,Warrior",Neutral,"Isolationist, Charismatic Charm",8.0,8.0,11,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-039.png
0-040,Vladimir the Bloodseeker,A vampire lord with an insatiable thirst.,Rare,"Vampire,Undead",Evil,"Fear Monger, Telepathic Manipulation",8.0,9.0,10,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-040.png
0-041,Thunderous Lupus,A beast empowered by stormy rage.,Uncommon,"Beast,Elemental",Neutral,"Fear Monger, Strategist",5.0,7.0,8,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-041.png
0-042,Valor the Gallant,A warrior striving for honor and justice.,Rare,"Celestial, Warrior",Good,"Egalitarian, Charismatic Charm",7.0,7.0,10,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-042.png
0-043,Forest's Wrath,A territorial beast defending its woodland.,Common,"Beast,Elemental",Neutral,"Isolationist, Trickster",3.0,3.0,5,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-043.png
0-044,Shadow Enforcer,A silhouette of darkness with glowing eyes.,Common,"Demon, Beast",Neutral,"Telepathic Manipulation,Isolationist",6.0,7.0,8,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-044.png
0-045,Spiritual Seer,A mysterious entity channeling cosmic energy.,Common,"Spirit,Elemental",Good,"Benevolent Overseer,Telepathic Manipulation",5.0,4.0,4,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-045.png
0-046,Lion Guardian,A majestic lion with armored plating.,Common,"Beast,Warrior",Good,"Egalitarian,Strategist",6.0,6.0,9,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-046.png
0-047,Infernal Warrior,A hellish figure adorned with red armor and horns.,Common,"Demon,Warrior",Evil,"Fear Monger,Tyrant",5.0,5.0,5,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-047.png
0-048,Thundercat Shaman,A mythical feline casting electric magic.,Common,"Mage,Beast",Good,"Telepathic Manipulation,Benevolent Overseer",6.0,6.0,8,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-048.png
0-049,Octa The Deep One,An ancient tentacled entity from the ocean's abyss.,Rare,"Demon,Spirit",Evil,"Fear Monger,Isolationist",8.0,7.0,10,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-049.png
0-050,Wolf Fighter,A fierce beast known for its powerful roars and fierce strength.,Common,"Beast,Warrior",Neutral,Fear Monger,7.0,6.0,6,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-050.png
0-051,Lord Mortis,A demon of noble birth who seeks to expand his dark realm.,Rare,"Demon,Warrior",Evil,"Tyrant,Strategist",8.0,9.0,11,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-051.png
0-052,Stormblade Vanguard,An elemental warrior who harnesses the power of the storm.,Uncommon,"Demon, Elemental",Neutral,"Strategist,Isolationist",7.0,7.0,8,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-052.png
0-053,Waxy Zombie,A grotesque undead that feeds on the fears of the living.,Common,"Undead,Warrior",Evil,Fear Monger,5.0,6.0,7,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-053.png
0-054,Verdant Hellbeast,A beast of the forest known for his strategic hunting techniques.,Common,"Beast,Demon",Neutral,"Isolationist,Egalitarian",6.0,7.0,9,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-054.png
0-055,Nightclaw Brute,A beastly warrior who thrives in the dark alleys of cities.,Common,"Beast,Warrior",Neutral,Fear Monger,6.0,6.0,6,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-055.png
0-056,Golden Knight,"A radiant entity of immense power, protector of realms.",Uncommon,"Celestial,Beast",Good,"Benevolent Overseer, Charismatic Charm",9.0,10.0,11,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-056.png
0-057,Dark Knight,"A formidable armored knight, instilling fear in foes.",Common,"Warrior,Undead",Neutral,"Fear Monger, Isolationist",6.0,5.0,5,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-057.png
0-058,EYELOCK,"An ancient sea creature, master of the deep.",Rare,"Beast,Demon",Evil,"Fear Monger, Trickster",8.0,9.0,11,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-058.png
0-059,Deepsea Horror,A mysterious creature from the abyssal depths.,Common,"Beast,Demon",Neutral,"Isolationist, Telepathic Manipulation",5.0,5.0,5,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-059.png
0-060,Shadowmancer,A being that dwells in darkness and commands shadowy forces.,Uncommon,"Vampire,Beast",Evil,"Fear Monger, Telepathic Manipulation",6.0,7.0,8,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-060.png
0-061,Fierce Wolf,"A nocturnal predator with fiery eyes, hunting its prey.",Common,"Beast,Warrior",Neutral,Isolationist,6.0,5.0,6,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-061.png
0-062,Frostfang The Terror,A monstrous entity from the frozen tundras.,Rare,"Beast,Warrior",Neutral,"Strategist, Isolationist",9.0,10.0,11,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-062.png
0-063,Golden Paladin,"A champion of light, wielding power and righteousness.",Uncommon,"Warrior,Celestial",Good,"Benevolent Overseer, Charismatic Charm",7.0,6.0,8,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-063.png
0-064,Sapphire Drake,"A majestic creature, guardian of the azure skies.",Common,"Celestial,Beast",Neutral,"Egalitarian, Strategist",6.0,7.0,8,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-064.png
0-065,Forest Protector,"A guardian of the woods, ensuring harmony and balance.",Common,"Spirit,Demon",Good,"Egalitarian, Benevolent Overseer",6.0,5.0,4,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-065.png
0-066,Rainbow Spirit,"A magical unicorn, protector of enchanted forests.",Uncommon,"Celestial,Beast",Good,"Benevolent Overseer, Egalitarian",4.0,5.0,5,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-066.png
0-067,Frost Knight,"A guardian of the icy realms, cold and unyielding.",Common,"Warrior,Elemental",Neutral,"Isolationist, Fear Monger",7.0,6.0,8,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-067.png
0-068,Nightshade Steed,"A mythical steed, riding through the darkness.",Uncommon,"Beast,Elemental",Neutral,"Egalitarian, Strategist",6.0,6.0,8,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-068.png
0-069,Skyblade Guardian,"A winged guardian, protector of the heavens.",Common,"Warrior,Celestial",Good,"Benevolent Overseer, Strategist",8.0,7.0,8,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-069.png
0-070,Verdant Dragon,"A creature of the forest, ensuring nature's balance.",Uncommon,"Beast,Warrior",Good,"Egalitarian, Fear Monger",6.0,5.0,5,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-070.png
0-071,Midnight Whiskers,"A mystical feline, harbinger of luck and mystery.",Common,"Vampire,Demon",Neutral,"Trickster, Charismatic Charm",5.0,4.0,5,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-071.png
0-072,Sorin The Wise Elder,An ancient sorcerer bearing wisdom and magic beyond ages.,Rare,"Beast,Mage",Neutral,"Strategist, Telepathic Manipulation",8.0,9.0,11,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-072.png
0-073,Inferno Lord,"A fiery deity, master of flames and chaos.",Uncommon,"Elemental,Demon",Evil,"Fear Monger, Tyrant",7.0,6.0,8,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-073.png
0-074,Ilyana The Starblade,A warrior princess with cosmic powers and unyielding spirit.,Rare,"Celestial, Vampire",Good,"Benevolent Overseer, Charismatic Charm",8.0,8.0,15,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-074.png
0-075,Jungle Guardian,"A protector of the wilds, fierce and unyielding.",Common,"Beast,Warrior",Neutral,"Egalitarian, Isolationist",6.0,5.0,6,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-075.png
0-076,Celestial Cub,"A young celestial entity, full of innocence and potential.",Uncommon,"Beast,Celestial",Good,Benevolent Overseer,4.0,3.0,5,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-076.png
0-077,Azure Serpent,A majestic dragon soaring through tropical skies.,Uncommon,"Beast,Elemental",Neutral,"Strategist, Egalitarian",6.0,6.0,8,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-077.png
0-078,River Spirits,"A mythical steed, guardian of pristine waters and serene landscapes.",Common,"Beast,Spirit",Good,"Egalitarian, Benevolent Overseer",5.0,5.0,4,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-078.png
0-079,Celestial Griffin,A majestic creature that oversees the realms.,Uncommon,"Celestial,Beast",Good,"Benevolent Overseer,Strategist",6.0,7.0,11,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-079.png
0-080,Feral Beast,A beast that has succumbed to its primal instincts.,Common,"Beast,Warrior",Neutral,Fear Monger,7.0,10.0,6,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-080.png
0-081,Ice Sorceress,A mage with a chilling aura and control over frost.,Common,"Mage,Elemental",Neutral,Trickster,5.0,9.0,8,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-081.png
0-082,Serena the Moonlit,Channeler of the moon's divine energy.,Rare,"Mage,Celestial",Good,"Theocracy,Strategist",5.0,5.0,11,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-082.png
0-083,Drake of Inferno,A dragon from the molten cores of mountains.,Uncommon,"Beast,Elemental",Evil,"Fear Monger,Isolationist",6.0,7.0,8,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-083.png
0-084,Phoenix Ascendant,A reborn spirit with fiery wings of vengeance.,Uncommon,"Spirit,Elemental",Neutral,"Benevolent Overseer,Strategist",7.0,6.0,10,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-084.png
0-085,Kraken's Terror,Deep sea terror with tentacles of doom.,Common,"Beast,Demon",Evil,Fear Monger,8.0,12.0,5,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-085.png
0-086,Gargoyle Watcher,Stone sentinel guarding the ancient spires.,Common,"Beast,Demon",Neutral,"Isolationist,Strategist",7.0,10.0,5,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-086.png
0-087,Emerald Dragon,A dragon that harnesses the power of the earth.,Common,"Beast,Elemental",Neutral,"Strategist,Egalitarian",6.0,7.0,8,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-087.png
0-088,Reaper of Shadows,"A ruler of the undead, ever seeking souls.",Rare,"Undead,Mage",Evil,"Fear Monger,Tyrant",5.0,6.0,10,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-088.png
0-089,Orcus the Green Menace,A fearsome orc with a hunger for battle.,Rare,"Warrior,Beast",Evil,"Tyrant,Isolationist",7.0,8.0,12,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-089.png
0-090,Winterwolf,A guardian beast with a chilling howl.,Common,"Beast,Spirit",Neutral,"Isolationist,Charismatic Charm",6.0,9.0,4,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-090.png
0-091,Inferno Warden,A sentinel born from the fires of the underworld.,Common,"Demon,Mage",Evil,"Fear Monger,Strategist",5.0,8.0,8,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-091.png
0-092,Deepsea Nightmare,A monster lurking in the abyssal depths.,Common,"Beast,Demon",Evil,"Fear Monger,Isolationist",5.0,9.0,5,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-092.png
0-093,Azul the Flameforged,A warrior imbued with the soul of a blaze.,Rare,"Warrior,Demon",Neutral,"Benevolent Overseer,Strategist",6.0,6.0,11,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-093.png
0-094,Zealot of the Cosmos,A mage who channels the power of the stars.,Uncommon,"Undead,Celestial",Good,"Theocracy,Telepathic Manipulation",6.0,7.0,8,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-094.png
0-095,Frostfang Warlord,A leader with control over winter's might.,Uncommon,"Elemental,Demon",Neutral,"Strategist,Telepathic Manipulation",6.0,7.0,8,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-095.png
0-096,Gruff the Forest Sage,An old hermit with ancient woodland knowledge.,Rare,"Spirit,Beast",Good,"Benevolent Overseer,Egalitarian",4.0,5.0,9,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-096.png
0-097,Brutus the Brawler,A muscle-bound titan with a fiery temper.,Rare,"Warrior,Demon",Neutral,"Tyrant,Fear Monger",8.0,6.0,11,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-097.png
0-098,Obsidian Warden,Guardian of the shadow realms with piercing ice-blue eyes.,Uncommon,"Celestial,Demon",Neutral,"Fear Monger,Telepathic Manipulation",5.0,7.0,8,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-098.png
0-099,Blaze Witch,Sorceress controlling the ethereal dance of flames.,Common,"Demon,Mage",Neutral,"Theocracy,Strategist",6.0,5.0,11,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-099.png
0-100,Orc Raider,A mischievous orc who loves playing cruel tricks.,Common,"Warrior,Demon",Evil,"Trickster,Charismatic Charm",6.0,9.0,5,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-100.png
0-101,Abyss Lurker,"An enigma from the ocean's abyss, glowing with mystery.",Common,"Spirit, Demon",Evil,"Isolationist,Strategist",5.0,8.0,8,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-101.png
0-102,Floral Avatar,Embodiment of nature's vibrant beauty and wrath.,Uncommon,"Celestial,Spirit",Good,"Benevolent Overseer,Egalitarian",6.0,6.0,11,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-102.png
0-103,Nightcrawler Sentinel,Stealthy guardian of the moonlit terrains.,Common,"Vampire, Beast",Neutral,"Isolationist,Strategist",5.0,8.0,6,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-103.png
0-104,Sly Silverpaws,A cunning sorcerer in the guise of a feline.,Rare,"Spirit,Beast",Good,"Trickster,Telepathic Manipulation",4.0,5.0,9,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-104.png
0-105,Green Giant,A colossal being with a love for nature's wrath.,Common,"Warrior,Demon",Neutral,"Egalitarian,Strategist",8.0,7.0,9,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-105.png
0-106,Starlight Unicorn,A radiant steed that gallops across celestial meadows.,Uncommon,"Celestial,Beast",Good,"Benevolent Overseer,Telepathic Manipulation",5.0,6.0,11,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-106.png
0-107,Crimson Valkyrie,A fierce warrior maiden with wings of fire.,Common,"Beast,Warrior",Neutral,"Charismatic Charm,Strategist",6.0,7.0,8,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-107.png
